,user_name,repo_name,stars,repo_url,topic_url
0,mrdoob,three.js,82.5k,https://github.com/mrdoob/three.js,https://github.com/topics/3d
1,libgdx,libgdx,20.1k,https://github.com/libgdx/libgdx,https://github.com/topics/3d
2,pmndrs,react-three-fiber,18.3k,https://github.com/pmndrs/react-three-fiber,https://github.com/topics/3d
3,BabylonJS,Babylon.js,17.5k,https://github.com/BabylonJS/Babylon.js,https://github.com/topics/3d
4,aframevr,aframe,14.2k,https://github.com/aframevr/aframe,https://github.com/topics/3d
5,ssloy,tinyrenderer,13.8k,https://github.com/ssloy/tinyrenderer,https://github.com/topics/3d
6,lettier,3d-game-shaders-for-beginners,13.1k,https://github.com/lettier/3d-game-shaders-for-beginners,https://github.com/topics/3d
7,FreeCAD,FreeCAD,11.4k,https://github.com/FreeCAD/FreeCAD,https://github.com/topics/3d
8,metafizzy,zdog,9.2k,https://github.com/metafizzy/zdog,https://github.com/topics/3d
9,CesiumGS,cesium,8.7k,https://github.com/CesiumGS/cesium,https://github.com/topics/3d
10,timzhang642,3D-Machine-Learning,8k,https://github.com/timzhang642/3D-Machine-Learning,https://github.com/topics/3d
11,a1studmuffin,SpaceshipGenerator,7.1k,https://github.com/a1studmuffin/SpaceshipGenerator,https://github.com/topics/3d
12,isl-org,Open3D,6.8k,https://github.com/isl-org/Open3D,https://github.com/topics/3d
13,blender,blender,5.7k,https://github.com/blender/blender,https://github.com/topics/3d
14,domlysz,BlenderGIS,5.3k,https://github.com/domlysz/BlenderGIS,https://github.com/topics/3d
15,spritejs,spritejs,4.9k,https://github.com/spritejs/spritejs,https://github.com/topics/3d
16,openscad,openscad,4.8k,https://github.com/openscad/openscad,https://github.com/topics/3d
17,tensorspace-team,tensorspace,4.6k,https://github.com/tensorspace-team/tensorspace,https://github.com/topics/3d
18,jagenjo,webglstudio.js,4.6k,https://github.com/jagenjo/webglstudio.js,https://github.com/topics/3d
19,YadiraF,PRNet,4.6k,https://github.com/YadiraF/PRNet,https://github.com/topics/3d
20,AaronJackson,vrn,4.4k,https://github.com/AaronJackson/vrn,https://github.com/topics/3d
21,google,model-viewer,4.4k,https://github.com/google/model-viewer,https://github.com/topics/3d
22,ssloy,tinyraytracer,4.2k,https://github.com/ssloy/tinyraytracer,https://github.com/topics/3d
23,mosra,magnum,4k,https://github.com/mosra/magnum,https://github.com/topics/3d
24,FyroxEngine,Fyrox,4k,https://github.com/FyroxEngine/Fyrox,https://github.com/topics/3d
25,gfxfundamentals,webgl-fundamentals,3.6k,https://github.com/gfxfundamentals/webgl-fundamentals,https://github.com/topics/3d
26,tengbao,vanta,3.6k,https://github.com/tengbao/vanta,https://github.com/topics/3d
27,cleardusk,3DDFA,3.3k,https://github.com/cleardusk/3DDFA,https://github.com/topics/3d
28,jasonlong,isometric-contributions,3.2k,https://github.com/jasonlong/isometric-contributions,https://github.com/topics/3d
29,cnr-isti-vclab,meshlab,3k,https://github.com/cnr-isti-vclab/meshlab,https://github.com/topics/3d
30,ljianshu,Blog,7.1k,https://github.com/ljianshu/Blog,https://github.com/topics/ajax
31,developit,unfetch,5.3k,https://github.com/developit/unfetch,https://github.com/topics/ajax
32,jquery-form,form,5.1k,https://github.com/jquery-form/form,https://github.com/topics/ajax
33,olifolkerd,tabulator,4.7k,https://github.com/olifolkerd/tabulator,https://github.com/topics/ajax
34,ded,reqwest,2.9k,https://github.com/ded/reqwest,https://github.com/topics/ajax
35,elbywan,wretch,2.4k,https://github.com/elbywan/wretch,https://github.com/topics/ajax
36,yisainan,web-interview,2k,https://github.com/yisainan/web-interview,https://github.com/topics/ajax
37,ptaoussanis,sente,1.6k,https://github.com/ptaoussanis/sente,https://github.com/topics/ajax
38,nette,tracy,1.5k,https://github.com/nette/tracy,https://github.com/topics/ajax
39,k8w,tsrpc,1.1k,https://github.com/k8w/tsrpc,https://github.com/topics/ajax
40,swlib,saber,957,https://github.com/swlib/saber,https://github.com/topics/ajax
41,opensource-socialnetwork,opensource-socialnetwork,864,https://github.com/opensource-socialnetwork/opensource-socialnetwork,https://github.com/topics/ajax
42,webcreate,infinite-ajax-scroll,860,https://github.com/webcreate/infinite-ajax-scroll,https://github.com/topics/ajax
43,karosLi,KKJSBridge,580,https://github.com/karosLi/KKJSBridge,https://github.com/topics/ajax
44,cferdinandi,atomic,540,https://github.com/cferdinandi/atomic,https://github.com/topics/ajax
45,GoogTech,sms-ssm,508,https://github.com/GoogTech/sms-ssm,https://github.com/topics/ajax
46,dashborg,hibiki,418,https://github.com/dashborg/hibiki,https://github.com/topics/ajax
47,englercj,resource-loader,397,https://github.com/englercj/resource-loader,https://github.com/topics/ajax
48,jsGanttImproved,jsgantt-improved,382,https://github.com/jsGanttImproved/jsgantt-improved,https://github.com/topics/ajax
49,klis87,redux-requests,361,https://github.com/klis87/redux-requests,https://github.com/topics/ajax
50,loadingio,loading-bar,356,https://github.com/loadingio/loading-bar,https://github.com/topics/ajax
51,yceruto,django-ajax,315,https://github.com/yceruto/django-ajax,https://github.com/topics/ajax
52,trco,django-bootstrap-modal-forms,318,https://github.com/trco/django-bootstrap-modal-forms,https://github.com/topics/ajax
53,tulios,mappersmith,307,https://github.com/tulios/mappersmith,https://github.com/topics/ajax
54,anzhihe,Free-Web-Books,302,https://github.com/anzhihe/Free-Web-Books,https://github.com/topics/ajax
55,davgothic,AjaxFileUpload,297,https://github.com/davgothic/AjaxFileUpload,https://github.com/topics/ajax
56,donavon,thwack,272,https://github.com/donavon/thwack,https://github.com/topics/ajax
57,GerryIsWarrior,ajax,265,https://github.com/GerryIsWarrior/ajax,https://github.com/topics/ajax
58,maliangnansheng,bbs-ssm,273,https://github.com/maliangnansheng/bbs-ssm,https://github.com/topics/ajax
59,kishan0725,AJAX-Movie-Recommendation-System-with-Sentiment-Analysis,266,https://github.com/kishan0725/AJAX-Movie-Recommendation-System-with-Sentiment-Analysis,https://github.com/topics/ajax
60,jwasham,coding-interview-university,221k,https://github.com/jwasham/coding-interview-university,https://github.com/topics/algorithm
61,CyC2018,CS-Notes,152k,https://github.com/CyC2018/CS-Notes,https://github.com/topics/algorithm
62,trekhleb,javascript-algorithms,143k,https://github.com/trekhleb/javascript-algorithms,https://github.com/topics/algorithm
63,TheAlgorithms,Python,137k,https://github.com/TheAlgorithms/Python,https://github.com/topics/algorithm
64,yangshun,tech-interview-handbook,71.4k,https://github.com/yangshun/tech-interview-handbook,https://github.com/topics/algorithm
65,kdn251,interviews,57.4k,https://github.com/kdn251/interviews,https://github.com/topics/algorithm
66,azl397985856,leetcode,48.2k,https://github.com/azl397985856/leetcode,https://github.com/topics/algorithm
67,TheAlgorithms,Java,46.3k,https://github.com/TheAlgorithms/Java,https://github.com/topics/algorithm
68,algorithm-visualizer,algorithm-visualizer,37k,https://github.com/algorithm-visualizer/algorithm-visualizer,https://github.com/topics/algorithm
69,youngyangyang04,leetcode-master,27.3k,https://github.com/youngyangyang04/leetcode-master,https://github.com/topics/algorithm
70,crossoverJie,JCSprout,26.7k,https://github.com/crossoverJie/JCSprout,https://github.com/topics/algorithm
71,donnemartin,interactive-coding-challenges,25.5k,https://github.com/donnemartin/interactive-coding-challenges,https://github.com/topics/algorithm
72,halfrost,LeetCode-Go,25.4k,https://github.com/halfrost/LeetCode-Go,https://github.com/topics/algorithm
73,huihut,interview,24.4k,https://github.com/huihut/interview,https://github.com/topics/algorithm
74,keon,algorithms,20.9k,https://github.com/keon/algorithms,https://github.com/topics/algorithm
75,TheAlgorithms,JavaScript,20.1k,https://github.com/TheAlgorithms/JavaScript,https://github.com/topics/algorithm
76,TheAlgorithms,C-Plus-Plus,19.6k,https://github.com/TheAlgorithms/C-Plus-Plus,https://github.com/topics/algorithm
77,trekhleb,homemade-machine-learning,19.3k,https://github.com/trekhleb/homemade-machine-learning,https://github.com/topics/algorithm
78,mxgmn,WaveFunctionCollapse,18.7k,https://github.com/mxgmn/WaveFunctionCollapse,https://github.com/topics/algorithm
79,AtsushiSakai,PythonRobotics,15.4k,https://github.com/AtsushiSakai/PythonRobotics,https://github.com/topics/algorithm
80,greyireland,algorithm-pattern,13.5k,https://github.com/greyireland/algorithm-pattern,https://github.com/topics/algorithm
81,OpenGenus,cosmos,13k,https://github.com/OpenGenus/cosmos,https://github.com/topics/algorithm
82,williamfiset,Algorithms,12.8k,https://github.com/williamfiset/Algorithms,https://github.com/topics/algorithm
83,halfrost,Halfrost-Field,11.1k,https://github.com/halfrost/Halfrost-Field,https://github.com/topics/algorithm
84,apachecn,apachecn-algo-zh,10.6k,https://github.com/apachecn/apachecn-algo-zh,https://github.com/topics/algorithm
85,lnishan,awesome-competitive-programming,9.8k,https://github.com/lnishan/awesome-competitive-programming,https://github.com/topics/algorithm
86,Blankj,awesome-java-leetcode,8.4k,https://github.com/Blankj/awesome-java-leetcode,https://github.com/topics/algorithm
87,jeffgerickson,algorithms,7.5k,https://github.com/jeffgerickson/algorithms,https://github.com/topics/algorithm
88,LeetCode-OpenSource,vscode-leetcode,7.3k,https://github.com/LeetCode-OpenSource/vscode-leetcode,https://github.com/topics/algorithm
89,mgechev,javascript-algorithms,7.3k,https://github.com/mgechev/javascript-algorithms,https://github.com/topics/algorithm
90,amphp,amp,3.6k,https://github.com/amphp/amp,https://github.com/topics/amphp
91,danog,MadelineProto,2k,https://github.com/danog/MadelineProto,https://github.com/topics/amphp
92,amphp,http-server,1.2k,https://github.com/amphp/http-server,https://github.com/topics/amphp
93,unreal4u,telegram-api,715,https://github.com/unreal4u/telegram-api,https://github.com/topics/amphp
94,amphp,http-client,611,https://github.com/amphp/http-client,https://github.com/topics/amphp
